No.,Time,Source,Destination,Protocol,Protocol,Protocol,Protocol,,,time 1,time 2,delay,,delay 1,delay 2,jitter 
130,1.90639,151.101.9.108,192.168.43.13,TCP,TCP,TCP,TCP,,,1.90639,1.90639,0,,0,0,0
131,1.90639,18.141.44.70,192.168.43.13,TCP,TCP,TCP,TCP,,,1.90639,1.90639,0,,0,0,0
132,1.90639,151.101.9.108,192.168.43.13,TCP,TCP,TCP,TCP,,,1.90639,1.90639,0,,0,0,0
133,1.90639,103.43.90.19,192.168.43.13,TCP,TCP,TCP,TCP,,,1.90639,1.90639,0,,0,0,0
134,1.90639,52.220.190.43,192.168.43.13,TCP,TCP,TCP,TCP,,,1.90639,1.90639,0,,-0.00023,0.00023,0.00047
135,1.90639,103.43.90.180,192.168.43.13,TCP,TCP,TCP,TCP,,,1.90639,1.90663,0.00023,,0.00015,0.00008,-0.00007
136,1.90663,192.168.43.13,34.96.70.1,TCP,TCP,TCP,TCP,,,1.90663,1.90671,0.00008,,-0.00007,0.00015,0.00021
137,1.90671,192.168.43.13,151.101.9.108,TCP,TCP,TCP,TCP,,,1.90671,1.90686,0.00015,,-0.00354,0.00369,0.00724
138,1.90686,192.168.43.13,151.101.9.108,TCP,TCP,TCP,TCP,,,1.90686,1.91055,0.00369,,0.00354,0.00015,-0.00338
139,1.91055,204.246.164.11,192.168.43.13,TCP,TCP,TCP,TCP,,,1.91055,1.9107,0.00015,,0.00001,0.00014,0.00013
140,1.9107,192.168.43.13,204.246.164.11,TCP,TCP,TCP,TCP,,,1.9107,1.91084,0.00014,,0.00006,0.00008,0.00002
141,1.91084,204.246.164.60,192.168.43.13,TCP,TCP,TCP,TCP,,,1.91084,1.91092,0.00008,,-0.05233,0.05241,0.10475
142,1.91092,192.168.43.13,204.246.164.60,TCP,TCP,TCP,TCP,,,1.91092,1.96334,0.05241,,0.05216,0.00026,-0.0519
143,1.96334,103.142.124.133,192.168.43.13,TCP,TCP,TCP,TCP,,,1.96334,1.9636,0.00026,,0.00026,0,-0.00026
144,1.9636,35.213.109.249,192.168.43.13,TCP,TCP,TCP,TCP,,,1.9636,1.9636,0,,-0.00222,0.00222,0.00444
145,1.9636,35.213.34.3,192.168.43.13,TCP,TCP,TCP,TCP,,,1.9636,1.96582,0.00222,,0.00103,0.00119,0.00015
146,1.96582,35.213.109.249,192.168.43.13,TCP,TCP,TCP,TCP,,,1.96582,1.967,0.00119,,-0.00623,0.00742,0.01365
147,1.967,35.213.120.246,192.168.43.13,TCP,TCP,TCP,TCP,,,1.967,1.97442,0.00742,,0.00717,0.00025,-0.00692
148,1.97442,13.124.190.254,192.168.43.13,TCP,TCP,TCP,TCP,,,1.97442,1.97467,0.00025,,0.00012,0.00013,0.00001
149,1.97467,183.79.249.252,192.168.43.13,TCP,TCP,TCP,TCP,,,1.97467,1.9748,0.00013,,-0.00245,0.00257,0.00502
150,1.9748,192.168.43.13,183.79.249.252,TCP,TCP,TCP,TCP,,,1.9748,1.97737,0.00257,,-0.00382,0.0064,0.01022
151,1.97737,192.168.43.13,173.239.59.81,TCP,TCP,TCP,TCP,,,1.97737,1.98377,0.0064,,-0.07562,0.08201,0.15764
152,1.98377,13.210.193.191,192.168.43.13,TCP,TCP,TCP,TCP,,,1.98377,2.06578,0.08201,,0.08183,0.00019,-0.08164
153,2.06578,107.160.33.185,192.168.43.13,TCP,TCP,TCP,TCP,,,2.06578,2.06597,0.00019,,-0.06913,0.06931,0.13844
154,2.06597,192.168.43.13,107.160.33.185,TCP,TCP,TCP,TCP,,,2.06597,2.13528,0.06931,,0.06909,0.00022,-0.06887
155,2.13528,23.235.251.211,192.168.43.13,TCP,TCP,TCP,TCP,,,2.13528,2.13551,0.00022,,0.00022,0,-0.00022
156,2.13551,72.21.206.140,192.168.43.13,TCP,TCP,TCP,TCP,,,2.13551,2.13551,0,,-0.00196,0.00196,0.00392
157,2.13551,54.164.52.250,192.168.43.13,TCP,TCP,TCP,TCP,,,2.13551,2.13746,0.00196,,-0.0077,0.00966,0.01735
158,2.13746,72.21.206.140,192.168.43.13,TCP,TCP,TCP,TCP,,,2.13746,2.14712,0.00966,,-0.0095,0.01916,0.02865
159,2.14712,77.88.21.119,192.168.43.13,TCP,TCP,TCP,TCP,,,2.14712,2.16627,0.01916,,-0.011,0.03016,0.04116
160,2.16627,77.88.21.119,192.168.43.13,TCP,TCP,TCP,TCP,,,2.16627,2.19643,0.03016,,0.02988,0.00028,-0.0296
161,2.19643,182.161.72.146,192.168.43.13,TLSv1.2,TLSv1.3,TLSv1.4,TLSv1.5,,,2.19643,2.19671,0.00028,,0.0002,0.00008,-0.00012
162,2.19671,182.161.72.146,192.168.43.13,TCP,TCP,TCP,TCP,,,2.19671,2.19679,0.00008,,-0.0001,0.00018,0.00027
163,2.19679,192.168.43.13,182.161.72.146,TCP,TCP,TCP,TCP,,,2.19679,2.19697,0.00018,,-0.11474,0.11491,0.22965
164,2.19697,192.168.43.13,182.161.72.146,TCP,TCP,TCP,TCP,,,2.19697,2.31188,0.11491,,0.11443,0.00048,-0.11394
165,2.31188,173.239.59.81,192.168.43.13,TCP,TCP,TCP,TCP,,,2.31188,2.31237,0.00048,,-0.00311,0.0036,0.00671
166,2.31237,192.168.43.13,173.239.59.81,TCP,TCP,TCP,TCP,,,2.31237,2.31597,0.0036,,-0.03924,0.04284,0.08208
167,2.31597,192.168.43.13,173.239.59.81,TLSv1.2,TLSv1.3,TLSv1.4,TLSv1.5,,,2.31597,2.3588,0.04284,,0.04252,0.00032,-0.0422
171,2.3588,173.239.59.81,192.168.43.13,TCP,TCP,TCP,TCP,,,2.3588,2.35912,0.00032,,-0.0009,0.00121,0.00211
172,2.35912,192.168.43.13,173.239.59.81,TCP,TCP,TCP,TCP,,,2.35912,2.36034,0.00121,,-0.02573,0.02695,0.05268
173,2.36034,192.168.43.13,173.239.59.81,TLSv1.2,TLSv1.3,TLSv1.4,TLSv1.5,,,2.36034,2.38728,0.02695,,-0.2729,0.29985,0.57275
175,2.38728,182.161.72.146,192.168.43.13,TCP,TCP,TCP,TCP,,,2.38728,2.68713,0.29985,,0.28803,0.01182,-0.27621
185,2.68713,173.239.59.81,192.168.43.13,TCP,TCP,TCP,TCP,,,2.68713,2.69895,0.01182,,0.01122,0.0006,-0.01062
186,2.69895,173.239.59.81,192.168.43.13,TLSv1.2,TLSv1.3,TLSv1.4,TLSv1.5,,,2.69895,2.69955,0.0006,,0.0006,0,-0.0006
187,2.69955,173.239.59.81,192.168.43.13,TCP,TCP,TCP,TCP,,,2.69955,2.69955,0,,-0.00031,0.00031,0.00063
189,2.69955,173.239.59.81,192.168.43.13,TLSv1.2,TLSv1.3,TLSv1.4,TLSv1.5,,,2.69955,2.69987,0.00031,,0.00009,0.00022,0.00012
191,2.69987,192.168.43.13,173.239.59.81,TCP,TCP,TCP,TCP,,,2.69987,2.70008,0.00022,,-0.01881,0.01903,0.03784
192,2.70008,192.168.43.13,173.239.59.81,TCP,TCP,TCP,TCP,,,2.70008,2.71911,0.01903,,0.0078,0.01124,0.00344
193,2.71911,192.168.43.13,173.239.59.81,TLSv1.2,TLSv1.3,TLSv1.4,TLSv1.5,,,2.71911,2.73035,0.01124,,0.00953,0.0017,-0.00783
195,2.73035,173.239.59.81,192.168.43.13,TCP,TCP,TCP,TCP,,,2.73035,2.73205,0.0017,,0.0013,0.0004,-0.0009
196,2.73205,173.239.59.81,192.168.43.13,TLSv1.2,TLSv1.3,TLSv1.4,TLSv1.5,,,2.73205,2.73245,0.0004,,0.00022,0.00017,-0.00005
197,2.73245,173.239.59.81,192.168.43.13,TCP,TCP,TCP,TCP,,,2.73245,2.73262,0.00017,,-0.00768,0.00785,0.01553
198,2.73262,192.168.43.13,173.239.59.81,TCP,TCP,TCP,TCP,,,2.73262,2.74047,0.00785,,0.00766,0.00019,-0.00748
199,2.74047,173.239.59.81,192.168.43.13,TCP,TCP,TCP,TCP,,,2.74047,2.74066,0.00019,,0.00013,0.00005,-0.00008
200,2.74066,173.239.59.81,192.168.43.13,TLSv1.2,TLSv1.3,TLSv1.4,TLSv1.5,,,2.74066,2.74071,0.00005,,-0.00056,0.00061,0.00118
201,2.74071,192.168.43.13,173.239.59.81,TCP,TCP,TCP,TCP,,,2.74071,2.74133,0.00061,,-0.25731,0.25792,0.51523
202,2.74133,192.168.43.13,173.239.59.81,TLSv1.2,TLSv1.3,TLSv1.4,TLSv1.5,,,2.74133,2.99925,0.25792,,0.2577,0.00022,-0.25748
203,2.99925,192.168.43.13,204.246.164.92,TLSv1.2,TLSv1.3,TLSv1.4,TLSv1.5,,,2.99925,2.99947,0.00022,,-0.01074,0.01096,0.0217
204,2.99947,192.168.43.13,204.246.164.92,TLSv1.2,TLSv1.3,TLSv1.4,TLSv1.5,,,2.99947,3.01043,0.01096,,-0.06812,0.07908,0.1472
205,3.01043,192.168.43.13,77.88.21.119,TCP,TCP,TCP,TCP,,,3.01043,3.08951,0.07908,,0.07859,0.0005,-0.07809
